AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
9.9|11.5|10.7|669|IV(a) Neuroblastoma and ganglioneuroblastoma|60907384|0-14|All Races|Male and Female|2008|||
0.2|0.4|0.3|17|IV(b) Other peripheral nervous cell tumors|60907384|0-14|All Races|Male and Female|2008|||
10.2|11.9|11.1|677|IX Soft tissue and other extraosseous sarcomas|60907384|0-14|All Races|Male and Female|2008|||
4.8|5.9|5.3|326|IX(a) Rhabdomyosarcomas|60907384|0-14|All Races|Male and Female|2008|||
0.8|1.3|1.0|61|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|IX(c) Kaposi sarcoma|60907384|0-14|All Races|Male and Female|2008|||
3.0|3.9|3.4|210|IX(d) Other specified soft tissue sarcomas|60907384|0-14|All Races|Male and Female|2008|||
1.0|1.6|1.3|79|IX(e) Unspecified soft tissue sarcomas|60907384|0-14|All Races|Male and Female|2008|||
0.2|0.4|0.3|17|Not classified by ICCC|60907384|0-14|All Races|Male and Female|2008|||
3.7|4.8|4.2|268|V Retinoblastoma|60907384|0-14|All Races|Male and Female|2008|||
8.3|9.8|9.0|557|VI Renal tumors|60907384|0-14|All Races|Male and Female|2008|||
7.9|9.3|8.6|532|VI(a) Nephroblastoma and other nonepithelial renal tumors|60907384|0-14|All Races|Male and Female|2008|||
0.2|0.6|0.4|23|VI(b) Renal carcinomas|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|60907384|0-14|All Races|Male and Female|2008|||
2.2|3.1|2.6|164|VII Hepatic tumors|60907384|0-14|All Races|Male and Female|2008|||
1.9|2.6|2.2|140|VII(a) Hepatoblastoma|60907384|0-14|All Races|Male and Female|2008|||
0.3|0.6|0.4|24|VII(b) Hepatic carcinomas|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|60907384|0-14|All Races|Male and Female|2008|||
6.2|7.6|6.9|415|VIII Malignant bone tumors|60907384|0-14|All Races|Male and Female|2008|||
3.4|4.4|3.9|233|VIII(a) Osteosarcomas|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|VIII(b) Chondrosarcomas|60907384|0-14|All Races|Male and Female|2008|||
2.1|2.9|2.4|148|VIII(c) Ewing tumor and related sarcomas of bone|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|VIII(d) Other specified malignant bone tumors|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|60907384|0-14|All Races|Male and Female|2008|||
4.7|5.9|5.3|325|X Germ cell, trophoblastic tumors & neoplasms of gonads|60907384|0-14|All Races|Male and Female|2008|||
1.1|1.7|1.4|83|X(a) Intracranial & intraspinal germ cell tumors|60907384|0-14|All Races|Male and Female|2008|||
1.1|1.7|1.4|89|X(b) Malignant extracranial & extragonadal germ cell tumors|60907384|0-14|All Races|Male and Female|2008|||
1.9|2.7|2.3|141|X(c) Malignant gonadal germ cell tumors|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|X(d) Gonadal carcinomas|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|60907384|0-14|All Races|Male and Female|2008|||
6.6|8.0|7.3|442|XI Other malignant epithelial neoplasms and malignant melanomas|60907384|0-14|All Races|Male and Female|2008|||
0.1|0.4|0.3|16|XI(a) Adrenocortical carcinomas|60907384|0-14|All Races|Male and Female|2008|||
2.2|3.0|2.6|158|XI(b) Thyroid carcinomas|60907384|0-14|All Races|Male and Female|2008|||
0.2|0.4|0.3|17|XI(c) Nasopharyngeal carcinomas|60907384|0-14|All Races|Male and Female|2008|||
1.9|2.7|2.3|140|XI(d) Malignant melanomas|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|XI(e) Skin carcinomas|60907384|0-14|All Races|Male and Female|2008|||
1.5|2.1|1.8|108|XI(f) Other and unspecified carcinomas|60907384|0-14|All Races|Male and Female|2008|||
0.4|0.9|0.6|39|XII Other and unspecified malignant neoplasms|60907384|0-14|All Races|Male and Female|2008|||
0.2|0.6|0.4|24|XII(a) Other specified malignant tumors|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|XII(b) Other unspecified malignant tumors|60907384|0-14|All Races|Male and Female|2008|||
160.3|166.7|163.5|10045|All ICCC Groups Combined|61087581|0-14|All Races|Male and Female|2009|||
50.8|54.5|52.6|3242|I Leukemias, myeloproliferative & myelodysplastic diseases|61087581|0-14|All Races|Male and Female|2009|||
39.5|42.8|41.1|2534|I(a) Lymphoid leukemias|61087581|0-14|All Races|Male and Female|2009|||
6.6|8.0|7.3|448|I(b) Acute myeloid leukemias|61087581|0-14|All Races|Male and Female|2009|||
1.3|1.9|1.6|96|I(c) Chronic myeloproliferative diseases|61087581|0-14|All Races|Male and Female|2009|||
1.2|1.9|1.5|94|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|61087581|0-14|All Races|Male and Female|2009|||
0.9|1.4|1.1|70|I(e) Unspecified and other specified leukemias|61087581|0-14|All Races|Male and Female|2009|||
15.9|18.0|16.9|1030|II Lymphomas and reticuloendothelial neoplasms|61087581|0-14|All Races|Male and Female|2009|||
5.2|6.4|5.7|348|II(a) Hodgkin lymphomas|61087581|0-14|All Races|Male and Female|2009|||
6.3|7.7|7.0|425|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|61087581|0-14|All Races|Male and Female|2009|||
2.0|2.8|2.4|143|II(c) Burkitt lymphoma|61087581|0-14|All Races|Male and Female|2009|||
1.3|2.0|1.6|102|II(d) Miscellaneous lymphoreticular neoplasms|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|II(e) Unspecified lymphomas|61087581|0-14|All Races|Male and Female|2009|||
34.1|37.1|35.6|2181|III CNS and misc intracranial and intraspinal neoplasms|61087581|0-14|All Races|Male and Female|2009|||
2.1|3.0|2.5|156|III(a) Ependymomas and choroid plexus tumor|61087581|0-14|All Races|Male and Female|2009|||
16.6|18.8|17.7|1083|III(b) Astrocytomas|61087581|0-14|All Races|Male and Female|2009|||
7.0|8.4|7.6|469|III(c) Intracranial and intraspinal embryonal tumors|61087581|0-14|All Races|Male and Female|2009|||
6.1|7.4|6.7|409|III(d) Other gliomas|61087581|0-14|All Races|Male and Female|2009|||
0.4|0.8|0.6|34|III(e) Other specified intracranial & intraspinal neoplasms|61087581|0-14|All Races|Male and Female|2009|||
0.3|0.7|0.5|30|III(f) Unspecified intracranial and intraspinal neoplasms|61087581|0-14|All Races|Male and Female|2009|||
10.0|11.7|10.8|673|IV Neuroblastoma and other peripheral nervous cell tumors|61087581|0-14|All Races|Male and Female|2009|||
9.9|11.5|10.6|663|IV(a) Neuroblastoma and ganglioneuroblastoma|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|61087581|0-14|All Races|Male and Female|2009|||
9.9|11.6|10.7|657|IX Soft tissue and other extraosseous sarcomas|61087581|0-14|All Races|Male and Female|2009|||
4.0|5.1|4.5|276|IX(a) Rhabdomyosarcomas|61087581|0-14|All Races|Male and Female|2009|||
1.0|1.6|1.3|78|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|IX(c) Kaposi sarcoma|61087581|0-14|All Races|Male and Female|2009|||
3.3|4.3|3.8|231|IX(d) Other specified soft tissue sarcomas|61087581|0-14|All Races|Male and Female|2009|||
0.9|1.5|1.2|72|IX(e) Unspecified soft tissue sarcomas|61087581|0-14|All Races|Male and Female|2009|||
0.2|0.5|0.3|20|Not classified by ICCC|61087581|0-14|All Races|Male and Female|2009|||
4.0|5.1|4.5|284|V Retinoblastoma|61087581|0-14|All Races|Male and Female|2009|||
8.5|10.0|9.2|574|VI Renal tumors|61087581|0-14|All Races|Male and Female|2009|||
7.9|9.4|8.6|536|VI(a) Nephroblastoma and other nonepithelial renal tumors|61087581|0-14|All Races|Male and Female|2009|||
0.4|0.8|0.6|36|VI(b) Renal carcinomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|61087581|0-14|All Races|Male and Female|2009|||
1.8|2.6|2.2|137|VII Hepatic tumors|61087581|0-14|All Races|Male and Female|2009|||
1.5|2.2|1.9|116|VII(a) Hepatoblastoma|61087581|0-14|All Races|Male and Female|2009|||
0.2|0.5|0.3|19|VII(b) Hepatic carcinomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|61087581|0-14|All Races|Male and Female|2009|||
6.4|7.7|7.0|427|VIII Malignant bone tumors|61087581|0-14|All Races|Male and Female|2009|||
3.5|4.5|4.0|241|VIII(a) Osteosarcomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|VIII(b) Chondrosarcomas|61087581|0-14|All Races|Male and Female|2009|||
2.0|2.8|2.4|144|VIII(c) Ewing tumor and related sarcomas of bone|61087581|0-14|All Races|Male and Female|2009|||
0.3|0.6|0.4|24|VIII(d) Other specified malignant bone tumors|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|61087581|0-14|All Races|Male and Female|2009|||
4.9|6.1|5.5|334|X Germ cell, trophoblastic tumors & neoplasms of gonads|61087581|0-14|All Races|Male and Female|2009|||
1.1|1.7|1.4|85|X(a) Intracranial & intraspinal germ cell tumors|61087581|0-14|All Races|Male and Female|2009|||
0.9|1.5|1.2|74|X(b) Malignant extracranial & extragonadal germ cell tumors|61087581|0-14|All Races|Male and Female|2009|||
2.2|3.0|2.6|160|X(c) Malignant gonadal germ cell tumors|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|X(d) Gonadal carcinomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|61087581|0-14|All Races|Male and Female|2009|||
6.5|7.9|7.2|437|XI Other malignant epithelial neoplasms and malignant melanomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|XI(a) Adrenocortical carcinomas|61087581|0-14|All Races|Male and Female|2009|||
2.5|3.4|2.9|177|XI(b) Thyroid carcinomas|61087581|0-14|All Races|Male and Female|2009|||
0.3|0.6|0.4|25|XI(c) Nasopharyngeal carcinomas|61087581|0-14|All Races|Male and Female|2009|||
1.3|2.0|1.6|100|XI(d) Malignant melanomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|XI(e) Skin carcinomas|61087581|0-14|All Races|Male and Female|2009|||
1.6|2.3|1.9|115|XI(f) Other and unspecified carcinomas|61087581|0-14|All Races|Male and Female|2009|||
0.6|1.0|0.8|49|XII Other and unspecified malignant neoplasms|61087581|0-14|All Races|Male and Female|2009|||
0.2|0.5|0.3|21|XII(a) Other specified malignant tumors|61087581|0-14|All Races|Male and Female|2009|||
0.3|0.7|0.5|28|XII(b) Other unspecified malignant tumors|61087581|0-14|All Races|Male and Female|2009|||
167.3|173.8|170.5|10483|All ICCC Groups Combined|61200686|0-14|All Races|Male and Female|2010|||
52.5|56.2|54.3|3347|I Leukemias, myeloproliferative & myelodysplastic diseases|61200686|0-14|All Races|Male and Female|2010|||
39.4|42.6|41.0|2528|I(a) Lymphoid leukemias|61200686|0-14|All Races|Male and Female|2010|||
7.1|8.5|7.7|476|I(b) Acute myeloid leukemias|61200686|0-14|All Races|Male and Female|2010|||
1.6|2.3|1.9|118|I(c) Chronic myeloproliferative diseases|61200686|0-14|All Races|Male and Female|2010|||
1.6|2.3|1.9|118|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|61200686|0-14|All Races|Male and Female|2010|||
1.4|2.1|1.7|107|I(e) Unspecified and other specified leukemias|61200686|0-14|All Races|Male and Female|2010|||
18.9|21.2|20.0|1222|II Lymphomas and reticuloendothelial neoplasms|61200686|0-14|All Races|Male and Female|2010|||
4.7|5.9|5.3|322|II(a) Hodgkin lymphomas|61200686|0-14|All Races|Male and Female|2010|||
6.5|7.8|7.1|435|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|61200686|0-14|All Races|Male and Female|2010|||
2.1|2.9|2.5|151|II(c) Burkitt lymphoma|61200686|0-14|All Races|Male and Female|2010|||
4.4|5.5|4.9|304|II(d) Miscellaneous lymphoreticular neoplasms|61200686|0-14|All Races|Male and Female|2010|||
~|~|~|~|II(e) Unspecified lymphomas|61200686|0-14|All Races|Male and Female|2010|||
35.1|38.1|36.6|2246|III CNS and misc intracranial and intraspinal neoplasms|61200686|0-14|All Races|Male and Female|2010|||
2.9|3.8|3.3|205|III(a) Ependymomas and choroid plexus tumor|61200686|0-14|All Races|Male and Female|2010|||
17.7|19.8|18.7|1149|III(b) Astrocytomas|61200686|0-14|All Races|Male and Female|2010|||
6.7|8.1|7.4|454|III(c) Intracranial and intraspinal embryonal tumors|61200686|0-14|All Races|Male and Female|2010|||
5.6|6.8|6.2|376|III(d) Other gliomas|61200686|0-14|All Races|Male and Female|2010|||
0.5|0.9|0.6|39|III(e) Other specified intracranial & intraspinal neoplasms|61200686|0-14|All Races|Male and Female|2010|||
0.2|0.6|0.4|23|III(f) Unspecified intracranial and intraspinal neoplasms|61200686|0-14|All Races|Male and Female|2010|||
10.4|12.0|11.2|694|IV Neuroblastoma and other peripheral nervous cell tumors|61200686|0-14|All Races|Male and Female|2010|||
10.2|11.9|11.0|684|IV(a) Neuroblastoma and ganglioneuroblastoma|61200686|0-14|All Races|Male and Female|2010|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|61200686|0-14|All Races|Male and Female|2010|||
10.7|12.5|11.6|709|IX Soft tissue and other extraosseous sarcomas|61200686|0-14|All Races|Male and Female|2010|||
5.0|6.2|5.6|343|IX(a) Rhabdomyosarcomas|61200686|0-14|All Races|Male and Female|2010|||
0.6|1.1|0.8|49|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|61200686|0-14|All Races|Male and Female|2010|||
~|~|~|~|IX(c) Kaposi sarcoma|61200686|0-14|All Races|Male and Female|2010|||
3.4|4.4|3.9|238|IX(d) Other specified soft tissue sarcomas|61200686|0-14|All Races|Male and Female|2010|||
1.0|1.6|1.3|79|IX(e) Unspecified soft tissue sarcomas|61200686|0-14|All Races|Male and Female|2010|||
~|~|~|~|Not classified by ICCC|61200686|0-14|All Races|Male and Female|2010|||
4.0|5.1|4.6|283|V Retinoblastoma|61200686|0-14|All Races|Male and Female|2010|||
7.8|9.2|8.5|527|VI Renal tumors|61200686|0-14|All Races|Male and Female|2010|||
7.4|8.9|8.1|506|VI(a) Nephroblastoma and other nonepithelial renal tumors|61200686|0-14|All Races|Male and Female|2010|||
0.2|0.5|0.3|19|VI(b) Renal carcinomas|61200686|0-14|All Races|Male and Female|2010|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|61200686|0-14|All Races|Male and Female|2010|||
2.6|3.5|3.0|187|VII Hepatic tumors|61200686|0-14|All Races|Male and Female|2010|||
2.1|2.9|2.5|157|VII(a) Hepatoblastoma|61200686|0-14|All Races|Male and Female|2010|||
0.3|0.7|0.5|29|VII(b) Hepatic carcinomas|61200686|0-14|All Races|Male and Female|2010|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|61200686|0-14|All Races|Male and Female|2010|||
6.1|7.4|6.7|408|VIII Malignant bone tumors|61200686|0-14|All Races|Male and Female|2010|||
3.2|4.2|3.7|225|VIII(a) Osteosarcomas|61200686|0-14|All Races|Male and Female|2010|||
~|~|~|~|VIII(b) Chondrosarcomas|61200686|0-14|All Races|Male and Female|2010|||
2.0|2.8|2.4|143|VIII(c) Ewing tumor and related sarcomas of bone|61200686|0-14|All Races|Male and Female|2010|||
0.2|0.5|0.3|20|VIII(d) Other specified malignant bone tumors|61200686|0-14|All Races|Male and Female|2010|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|61200686|0-14|All Races|Male and Female|2010|||
5.6|6.8|6.2|378|X Germ cell, trophoblastic tumors & neoplasms of gonads|61200686|0-14|All Races|Male and Female|2010|||
1.5|2.2|1.8|111|X(a) Intracranial & intraspinal germ cell tumors|61200686|0-14|All Races|Male and Female|2010|||
1.1|1.7|1.4|84|X(b) Malignant extracranial & extragonadal germ cell tumors|61200686|0-14|All Races|Male and Female|2010|||
2.2|3.0|2.6|159|X(c) Malignant gonadal germ cell tumors|61200686|0-14|All Races|Male and Female|2010|||
~|~|~|~|X(d) Gonadal carcinomas|61200686|0-14|All Races|Male and Female|2010|||
0.2|0.4|0.3|16|X(e) Other and unspecified malignant gonadal tumors|61200686|0-14|All Races|Male and Female|2010|||
6.4|7.7|7.0|427|XI Other malignant epithelial neoplasms and malignant melanomas|61200686|0-14|All Races|Male and Female|2010|||
~|~|~|~|XI(a) Adrenocortical carcinomas|61200686|0-14|All Races|Male and Female|2010|||
2.4|3.3|2.8|172|XI(b) Thyroid carcinomas|61200686|0-14|All Races|Male and Female|2010|||
0.2|0.4|0.3|17|XI(c) Nasopharyngeal carcinomas|61200686|0-14|All Races|Male and Female|2010|||
1.5|2.2|1.8|110|XI(d) Malignant melanomas|61200686|0-14|All Races|Male and Female|2010|||
~|~|~|~|XI(e) Skin carcinomas|61200686|0-14|All Races|Male and Female|2010|||
1.5|2.2|1.8|109|XI(f) Other and unspecified carcinomas|61200686|0-14|All Races|Male and Female|2010|||
0.5|0.9|0.6|40|XII Other and unspecified malignant neoplasms|61200686|0-14|All Races|Male and Female|2010|||
0.3|0.6|0.4|25|XII(a) Other specified malignant tumors|61200686|0-14|All Races|Male and Female|2010|||
~|~|~|~|XII(b) Other unspecified malignant tumors|61200686|0-14|All Races|Male and Female|2010|||
167.0|173.6|170.3|10457|All ICCC Groups Combined|61168631|0-14|All Races|Male and Female|2011|||
52.5|56.2|54.3|3341|I Leukemias, myeloproliferative & myelodysplastic diseases|61168631|0-14|All Races|Male and Female|2011|||
40.3|43.6|41.9|2581|I(a) Lymphoid leukemias|61168631|0-14|All Races|Male and Female|2011|||
7.0|8.4|7.7|473|I(b) Acute myeloid leukemias|61168631|0-14|All Races|Male and Female|2011|||
1.5|2.2|1.8|112|I(c) Chronic myeloproliferative diseases|61168631|0-14|All Races|Male and Female|2011|||
1.1|1.7|1.3|83|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|61168631|0-14|All Races|Male and Female|2011|||
1.2|1.8|1.5|92|I(e) Unspecified and other specified leukemias|61168631|0-14|All Races|Male and Female|2011|||
19.2|21.5|20.3|1240|II Lymphomas and reticuloendothelial neoplasms|61168631|0-14|All Races|Male and Female|2011|||
4.6|5.8|5.2|316|II(a) Hodgkin lymphomas|61168631|0-14|All Races|Male and Female|2011|||
5.8|7.1|6.4|390|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|61168631|0-14|All Races|Male and Female|2011|||
2.3|3.1|2.7|162|II(c) Burkitt lymphoma|61168631|0-14|All Races|Male and Female|2011|||
5.2|6.5|5.8|358|II(d) Miscellaneous lymphoreticular neoplasms|61168631|0-14|All Races|Male and Female|2011|||
~|~|~|~|II(e) Unspecified lymphomas|61168631|0-14|All Races|Male and Female|2011|||
34.4|37.4|35.9|2198|III CNS and misc intracranial and intraspinal neoplasms|61168631|0-14|All Races|Male and Female|2011|||
3.0|3.9|3.4|212|III(a) Ependymomas and choroid plexus tumor|61168631|0-14|All Races|Male and Female|2011|||
17.0|19.2|18.1|1106|III(b) Astrocytomas|61168631|0-14|All Races|Male and Female|2011|||
6.4|7.7|7.0|433|III(c) Intracranial and intraspinal embryonal tumors|61168631|0-14|All Races|Male and Female|2011|||
5.7|7.0|6.3|385|III(d) Other gliomas|61168631|0-14|All Races|Male and Female|2011|||
0.4|0.8|0.5|33|III(e) Other specified intracranial & intraspinal neoplasms|61168631|0-14|All Races|Male and Female|2011|||
0.3|0.7|0.5|29|III(f) Unspecified intracranial and intraspinal neoplasms|61168631|0-14|All Races|Male and Female|2011|||
10.4|12.1|11.2|695|IV Neuroblastoma and other peripheral nervous cell tumors|61168631|0-14|All Races|Male and Female|2011|||
10.2|11.9|11.0|682|IV(a) Neuroblastoma and ganglioneuroblastoma|61168631|0-14|All Races|Male and Female|2011|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|61168631|0-14|All Races|Male and Female|2011|||
10.3|12.0|11.1|681|IX Soft tissue and other extraosseous sarcomas|61168631|0-14|All Races|Male and Female|2011|||
4.7|5.8|5.2|321|IX(a) Rhabdomyosarcomas|61168631|0-14|All Races|Male and Female|2011|||
0.8|1.3|1.0|64|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|61168631|0-14|All Races|Male and Female|2011|||
~|~|~|~|IX(c) Kaposi sarcoma|61168631|0-14|All Races|Male and Female|2011|||
3.3|4.3|3.7|228|IX(d) Other specified soft tissue sarcomas|61168631|0-14|All Races|Male and Female|2011|||
0.8|1.4|1.1|66|IX(e) Unspecified soft tissue sarcomas|61168631|0-14|All Races|Male and Female|2011|||
~|~|~|~|Not classified by ICCC|61168631|0-14|All Races|Male and Female|2011|||
3.7|4.8|4.2|262|V Retinoblastoma|61168631|0-14|All Races|Male and Female|2011|||
8.3|9.8|9.0|557|VI Renal tumors|61168631|0-14|All Races|Male and Female|2011|||
7.9|9.4|8.6|534|VI(a) Nephroblastoma and other nonepithelial renal tumors|61168631|0-14|All Races|Male and Female|2011|||
0.2|0.5|0.4|22|VI(b) Renal carcinomas|61168631|0-14|All Races|Male and Female|2011|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|61168631|0-14|All Races|Male and Female|2011|||
2.7|3.6|3.2|196|VII Hepatic tumors|61168631|0-14|All Races|Male and Female|2011|||
2.3|3.1|2.7|167|VII(a) Hepatoblastoma|61168631|0-14|All Races|Male and Female|2011|||
0.3|0.6|0.4|25|VII(b) Hepatic carcinomas|61168631|0-14|All Races|Male and Female|2011|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|61168631|0-14|All Races|Male and Female|2011|||
6.8|8.1|7.4|452|VIII Malignant bone tumors|61168631|0-14|All Races|Male and Female|2011|||
3.6|4.6|4.1|249|VIII(a) Osteosarcomas|61168631|0-14|All Races|Male and Female|2011|||
~|~|~|~|VIII(b) Chondrosarcomas|61168631|0-14|All Races|Male and Female|2011|||
2.4|3.3|2.8|173|VIII(c) Ewing tumor and related sarcomas of bone|61168631|0-14|All Races|Male and Female|2011|||
~|~|~|~|VIII(d) Other specified malignant bone tumors|61168631|0-14|All Races|Male and Female|2011|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|61168631|0-14|All Races|Male and Female|2011|||
4.6|5.7|5.1|313|X Germ cell, trophoblastic tumors & neoplasms of gonads|61168631|0-14|All Races|Male and Female|2011|||
1.2|1.9|1.5|94|X(a) Intracranial & intraspinal germ cell tumors|61168631|0-14|All Races|Male and Female|2011|||
0.9|1.5|1.2|74|X(b) Malignant extracranial & extragonadal germ cell tumors|61168631|0-14|All Races|Male and Female|2011|||
1.8|2.6|2.2|132|X(c) Malignant gonadal germ cell tumors|61168631|0-14|All Races|Male and Female|2011|||
~|~|~|~|X(d) Gonadal carcinomas|61168631|0-14|All Races|Male and Female|2011|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|61168631|0-14|All Races|Male and Female|2011|||
7.1|8.5|7.7|471|XI Other malignant epithelial neoplasms and malignant melanomas|61168631|0-14|All Races|Male and Female|2011|||
~|~|~|~|XI(a) Adrenocortical carcinomas|61168631|0-14|All Races|Male and Female|2011|||
2.9|3.8|3.3|202|XI(b) Thyroid carcinomas|61168631|0-14|All Races|Male and Female|2011|||
0.2|0.5|0.3|19|XI(c) Nasopharyngeal carcinomas|61168631|0-14|All Races|Male and Female|2011|||
1.7|2.5|2.1|127|XI(d) Malignant melanomas|61168631|0-14|All Races|Male and Female|2011|||
~|~|~|~|XI(e) Skin carcinomas|61168631|0-14|All Races|Male and Female|2011|||
1.4|2.1|1.7|106|XI(f) Other and unspecified carcinomas|61168631|0-14|All Races|Male and Female|2011|||
0.5|0.9|0.6|39|XII Other and unspecified malignant neoplasms|61168631|0-14|All Races|Male and Female|2011|||
0.2|0.4|0.3|17|XII(a) Other specified malignant tumors|61168631|0-14|All Races|Male and Female|2011|||
0.2|0.5|0.4|22|XII(b) Other unspecified malignant tumors|61168631|0-14|All Races|Male and Female|2011|||
166.4|172.9|169.6|10396|All ICCC Groups Combined|61113314|0-14|All Races|Male and Female|2012|||
50.6|54.3|52.4|3221|I Leukemias, myeloproliferative & myelodysplastic diseases|61113314|0-14|All Races|Male and Female|2012|||
38.6|41.8|40.2|2470|I(a) Lymphoid leukemias|61113314|0-14|All Races|Male and Female|2012|||
6.5|7.9|7.2|440|I(b) Acute myeloid leukemias|61113314|0-14|All Races|Male and Female|2012|||
1.4|2.0|1.7|103|I(c) Chronic myeloproliferative diseases|61113314|0-14|All Races|Male and Female|2012|||
1.4|2.0|1.7|102|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|61113314|0-14|All Races|Male and Female|2012|||
1.4|2.1|1.7|106|I(e) Unspecified and other specified leukemias|61113314|0-14|All Races|Male and Female|2012|||
20.6|22.9|21.7|1327|II Lymphomas and reticuloendothelial neoplasms|61113314|0-14|All Races|Male and Female|2012|||
5.2|6.4|5.8|353|II(a) Hodgkin lymphomas|61113314|0-14|All Races|Male and Female|2012|||
6.8|8.2|7.4|454|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|61113314|0-14|All Races|Male and Female|2012|||
2.0|2.8|2.3|143|II(c) Burkitt lymphoma|61113314|0-14|All Races|Male and Female|2012|||
5.2|6.4|5.8|353|II(d) Miscellaneous lymphoreticular neoplasms|61113314|0-14|All Races|Male and Female|2012|||
0.3|0.6|0.4|24|II(e) Unspecified lymphomas|61113314|0-14|All Races|Male and Female|2012|||
33.9|36.9|35.3|2165|III CNS and misc intracranial and intraspinal neoplasms|61113314|0-14|All Races|Male and Female|2012|||
2.5|3.4|3.0|182|III(a) Ependymomas and choroid plexus tumor|61113314|0-14|All Races|Male and Female|2012|||
17.7|19.9|18.8|1148|III(b) Astrocytomas|61113314|0-14|All Races|Male and Female|2012|||
6.5|7.8|7.1|436|III(c) Intracranial and intraspinal embryonal tumors|61113314|0-14|All Races|Male and Female|2012|||
4.6|5.8|5.2|318|III(d) Other gliomas|61113314|0-14|All Races|Male and Female|2012|||
0.4|0.8|0.6|36|III(e) Other specified intracranial & intraspinal neoplasms|61113314|0-14|All Races|Male and Female|2012|||
0.5|1.0|0.7|45|III(f) Unspecified intracranial and intraspinal neoplasms|61113314|0-14|All Races|Male and Female|2012|||
10.6|12.3|11.4|705|IV Neuroblastoma and other peripheral nervous cell tumors|61113314|0-14|All Races|Male and Female|2012|||
10.4|12.1|11.2|691|IV(a) Neuroblastoma and ganglioneuroblastoma|61113314|0-14|All Races|Male and Female|2012|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|61113314|0-14|All Races|Male and Female|2012|||
10.3|12.0|11.1|679|IX Soft tissue and other extraosseous sarcomas|61113314|0-14|All Races|Male and Female|2012|||
4.5|5.6|5.0|309|IX(a) Rhabdomyosarcomas|61113314|0-14|All Races|Male and Female|2012|||
0.9|1.5|1.2|72|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|61113314|0-14|All Races|Male and Female|2012|||
~|~|~|~|IX(c) Kaposi sarcoma|61113314|0-14|All Races|Male and Female|2012|||
